Domain,base_host,CSE_Score,CSE_Match,Lexical_Score,CSE_Similarity,risk_bucket,reason
pkbijabar.or.id,pkbijabar.or.id,0.3055,SBI,0.2061,0.4545,low,lexical+cse
ilovecommunication.info,ilovecommunication.info,0.349,NIC,0.0948,0.7304,low,lexical+cse
stockchronicles.com,stockchronicles.com,0.3571,NIC,0.09,0.7579,low,lexical+cse
nickmicks.com,nickmicks.com,0.3713,NIC,0.0649,0.8308,low,lexical+cse
paark.co.in,paark.co.in,0.3016,NIC,0.189,0.4706,low,lexical+cse
analisi-nic.com,analisi-nic.com,0.3682,NIC,0.0803,0.8,low,lexical+cse
stmacharlodge54.co.uk,stmacharlodge54.co.uk,0.3014,SBI,0.2643,0.3571,low,lexical+cse
gosbiperu.com,gosbiperu.com,0.3826,SBI,0.0839,0.8308,low,lexical+cse
synertronicinsights.com,synertronicinsights.com,0.3509,NIC,0.0978,0.7304,low,lexical+cse
bobvibertdesign.com,bobvibertdesign.com,0.3607,BoB,0.0959,0.7579,low,lexical+cse
o3digital.com.br,o3digital.com.br,0.3372,ICICI,0.2287,0.5,low,lexical+cse
municipalsales.net,municipalsales.net,0.3604,NIC,0.0895,0.7667,low,lexical+cse
bxmia.xyz,bxmia.xyz,0.3036,SBI,0.1727,0.5,low,lexical+cse
jpcomunicacionestrategica.online,jpcomunicacionestrategica.online,0.3468,NIC,0.1154,0.6937,low,lexical+cse
helibobi.com,helibobi.com,0.3817,BoB,0.0695,0.85,low,lexical+cse
g14comunicacaovisual.com.br,g14comunicacaovisual.com.br,0.4486,NIC,0.2735,0.7111,low,lexical+cse
gabrielmillena.com.br,gabrielmillena.com.br,0.3083,ICICI,0.231,0.4242,low,lexical+cse
apollo-industries.co.in,apollo-industries.co.in,0.3253,SBI,0.2505,0.4375,low,lexical+cse
bitsandbobsmetals.com,bitsandbobsmetals.com,0.3542,BoB,0.0952,0.7429,low,lexical+cse
unicornsvista.com,unicornsvista.com,0.3634,NIC,0.088,0.7765,low,lexical+cse
48yvpn.icu,48yvpn.icu,0.3136,NIC,0.2151,0.4615,low,lexical+cse
leadsjuridicos.com.br,leadsjuridicos.com.br,0.3121,ICICI,0.2374,0.4242,low,lexical+cse
armanicatering.com,armanicatering.com,0.3578,NIC,0.0852,0.7667,low,lexical+cse
coingenesis.xyz,coingenesis.xyz,0.3157,SBI,0.1929,0.5,low,lexical+cse
smmmcigdemozdemir.com.tr,smmmcigdemozdemir.com.tr,0.302,ICICI,0.2367,0.4,low,lexical+cse
organicdigitalcreative.com,organicdigitalcreative.com,0.3488,NIC,0.1044,0.7154,low,lexical+cse
clinicareencuentro.com,clinicareencuentro.com,0.3496,NIC,0.0918,0.7364,low,lexical+cse
quasarmechanic.com,quasarmechanic.com,0.3608,NIC,0.0903,0.7667,low,lexical+cse
pbeier.life,pbeier.life,0.3035,SBI,0.0614,0.6667,low,lexical+cse
ueyama-clinic.net,ueyama-clinic.net,0.3656,NIC,0.0917,0.7765,low,lexical+cse
noahrojas.xyz,noahrojas.xyz,0.3064,BoB,0.1907,0.48,low,lexical+cse
ramnsmechanical.com,ramnsmechanical.com,0.3558,NIC,0.0877,0.7579,low,lexical+cse
cigliprofiloservisi.com.tr,cigliprofiloservisi.com.tr,0.3011,ICICI,0.2495,0.3784,low,lexical+cse
menopausaoficial.com.br,menopausaoficial.com.br,0.3298,ICICI,0.2449,0.4571,low,lexical+cse
pixzy.com.br,pixzy.com.br,0.3196,ICICI,0.1994,0.5,low,lexical+cse
stillo.imb.br,stillo.imb.br,0.308,ICICI,0.1933,0.48,low,lexical+cse
vrsmartpanel.xyz,vrsmartpanel.xyz,0.3047,Airtel,0.2048,0.4545,low,lexical+cse
statesbite.com,statesbite.com,0.3707,SBI,0.075,0.8143,low,lexical+cse
scorpiotechnic.com,scorpiotechnic.com,0.3578,NIC,0.0852,0.7667,low,lexical+cse
institutoliporaci.com.br,institutoliporaci.com.br,0.324,ICICI,0.2437,0.4444,low,lexical+cse
nervetonic.org,nervetonic.org,0.3716,NIC,0.0765,0.8143,low,lexical+cse
bmldiagnosticos.com.br,bmldiagnosticos.com.br,0.3086,ICICI,0.2398,0.4118,low,lexical+cse
ptptechnicals.com,ptptechnicals.com,0.3646,NIC,0.0901,0.7765,low,lexical+cse
daegyelectronics.com,daegyelectronics.com,0.3595,NIC,0.0991,0.75,low,lexical+cse
jimbo.cl,jimbo.cl,0.3037,IOCL,0.0616,0.6667,low,lexical+cse
cnicinformation.net.pk,cnicinformation.net.pk,0.4354,NIC,0.2347,0.7364,low,lexical+cse
bobergofsweden.com,bobergofsweden.com,0.3608,BoB,0.0903,0.7667,low,lexical+cse
ne2vd.top,ne2vd.top,0.3307,PNB,0.1956,0.5333,low,lexical+cse
liangwest.xyz,liangwest.xyz,0.3014,SBI,0.1993,0.4545,low,lexical+cse
thelivingwellclinic.com,thelivingwellclinic.com,0.349,NIC,0.0948,0.7304,low,lexical+cse
trunglamdong.id.vn,trunglamdong.id.vn,0.3018,NIC,0.2252,0.4167,low,lexical+cse
nr7.icu,nr7.icu,0.352,NIC,0.1867,0.6,low,lexical+cse
infokedaiai.xyz,infokedaiai.xyz,0.3171,IOCL,0.1952,0.5,low,lexical+cse
neq7f3.top,neq7f3.top,0.329,PNB,0.2151,0.5,low,lexical+cse
quinats.com.br,quinats.com.br,0.3123,ICICI,0.2128,0.4615,low,lexical+cse
sipencar.my.id,sipencar.my.id,0.355,SBI,0.2107,0.5714,low,lexical+cse
4redirectz.top,4redirectz.top,0.3139,ICICI,0.2032,0.48,low,lexical+cse
ati-va.ch,ati-va.ch,0.3058,NIC,0.0652,0.6667,low,lexical+cse
juggunsorganics.com,juggunsorganics.com,0.3571,NIC,0.09,0.7579,low,lexical+cse
drvictorvaliante.com.br,drvictorvaliante.com.br,0.306,ICICI,0.2434,0.4,low,lexical+cse
zkcbobi.bond,zkcbobi.bond,0.3806,BoB,0.0677,0.85,low,lexical+cse
exodooriginal.com.ar,exodooriginal.com.ar,0.312,ICICI,0.2284,0.4375,low,lexical+cse
nickymail.com,nickymail.com,0.3774,NIC,0.0752,0.8308,low,lexical+cse
iniciar365hotm.online,iniciar365hotm.online,0.3718,NIC,0.1244,0.7429,low,lexical+cse
bestdealtechnical.com,bestdealtechnical.com,0.3559,NIC,0.0979,0.7429,low,lexical+cse
lesaromesbio.com,lesaromesbio.com,0.3641,SBI,0.0818,0.7875,low,lexical+cse
blppbob.bond,blppbob.bond,0.3733,BoB,0.0555,0.85,low,lexical+cse
lampytechniczne.pl,lampytechniczne.pl,0.3622,NIC,0.0926,0.7667,low,lexical+cse
osteoclinic.app,osteoclinic.app,0.369,NIC,0.0817,0.8,low,lexical+cse
laurelclinicgangnam.com,laurelclinicgangnam.com,0.3489,NIC,0.0945,0.7304,low,lexical+cse
mannyselectronics.store,mannyselectronics.store,0.3509,NIC,0.0978,0.7304,low,lexical+cse
todaysfamousbirthday.com,todaysfamousbirthday.com,0.3532,SBI,0.1053,0.725,low,lexical+cse
financican.xyz,financican.xyz,0.3179,ICICI,0.1821,0.5217,low,lexical+cse
33win.clinic,33win.clinic,0.3907,NIC,0.0846,0.85,low,lexical+cse
online-card-ranking-osusume.xyz,online-card-ranking-osusume.xyz,0.3,BoB,0.2461,0.381,low,lexical+cse
viaid.com.br,viaid.com.br,0.3502,ICICI,0.1947,0.5833,low,lexical+cse
concluintes.xyz,concluintes.xyz,0.3535,SBI,0.2004,0.5833,low,lexical+cse
businesaudo.xyz,businesaudo.xyz,0.302,SBI,0.2004,0.4545,low,lexical+cse
bf74243cn.life,bf74243cn.life,0.3036,HDFC,0.1424,0.5455,low,lexical+cse
clubniclusterpays.top,clubniclusterpays.top,0.4253,NIC,0.2137,0.7429,low,lexical+cse
klimczakcommunications.com,klimczakcommunications.com,0.3462,NIC,0.1001,0.7154,low,lexical+cse
mfcomunicaciones.online,mfcomunicaciones.online,0.3479,NIC,0.0929,0.7304,low,lexical+cse
ikw9new.top,ikw9new.top,0.3075,PNB,0.1988,0.4706,low,lexical+cse
adsv.in.net,adsv.in.net,0.3005,NIC,0.1871,0.4706,low,lexical+cse
newlinkg4cor.biz.id,newlinkg4cor.biz.id,0.3165,SBI,0.2417,0.4286,low,lexical+cse
ssvelectronicsvizag.com,ssvelectronicsvizag.com,0.3544,NIC,0.1037,0.7304,low,lexical+cse
irtp.com.ua,irtp.com.ua,0.3153,IRCTC,0.1922,0.5,low,lexical+cse
chevroguillon.com.ar,chevroguillon.com.ar,0.3148,ICICI,0.2329,0.4375,low,lexical+cse
nutraleoficial.com.br,nutraleoficial.com.br,0.3364,ICICI,0.2374,0.4848,low,lexical+cse
gvkglobal.co.in,gvkglobal.co.in,0.3164,NIC,0.2098,0.4762,low,lexical+cse
funclickfrenzy123.top,funclickfrenzy123.top,0.3138,HDFC,0.2472,0.4138,low,lexical+cse
onicatcoin.xyz,onicatcoin.xyz,0.4383,NIC,0.1876,0.8143,low,lexical+cse
icmihuan.top,icmihuan.top,0.3045,ICICI,0.19,0.4762,low,lexical+cse
xkdhjnic.bond,xkdhjnic.bond,0.38,NIC,0.0795,0.8308,low,lexical+cse
bitrenting.xyz,bitrenting.xyz,0.307,BoB,0.1916,0.48,low,lexical+cse
saigonspaclinic.com,saigonspaclinic.com,0.3547,NIC,0.0859,0.7579,low,lexical+cse
batman-robin.co.uk,batman-robin.co.uk,0.3035,BoB,0.23,0.4138,low,lexical+cse
fishbite.xyz,fishbite.xyz,0.3245,SBI,0.19,0.5263,low,lexical+cse
kamoriya.com.br,kamoriya.com.br,0.3003,ICICI,0.2042,0.4444,low,lexical+cse
jtfc.life,jtfc.life,0.3193,HDFC,0.0615,0.7059,low,lexical+cse
n22s2e.icu,n22s2e.icu,0.3148,NIC,0.2169,0.4615,low,lexical+cse
rentalmobilpalembangdpt.co.id,rentalmobilpalembangdpt.co.id,0.3011,BoB,0.2685,0.35,low,lexical+cse
49s.online,49s.online,0.3116,SBI,0.0983,0.6316,low,lexical+cse
online-casinopolis.com.pl,online-casinopolis.com.pl,0.3357,SBI,0.2459,0.4706,low,lexical+cse
tissue-life.xyz,tissue-life.xyz,0.302,SBI,0.2003,0.4545,low,lexical+cse
zmechanic.com,zmechanic.com,0.3765,NIC,0.0736,0.8308,low,lexical+cse
thoa2912.id.vn,thoa2912.id.vn,0.3142,NIC,0.257,0.4,low,lexical+cse
geymvan.icu,geymvan.icu,0.3021,NIC,0.1898,0.4706,low,lexical+cse
fencingcompanyrochdale.co.uk,fencingcompanyrochdale.co.uk,0.3213,ICICI,0.2688,0.4,low,lexical+cse
autobuilding.xyz,autobuilding.xyz,0.3007,BoB,0.2048,0.4444,low,lexical+cse
casalua.com.ar,casalua.com.ar,0.3003,ICICI,0.1928,0.4615,low,lexical+cse
amosegurancafinanceira.com.br,amosegurancafinanceira.com.br,0.3124,ICICI,0.2604,0.3902,low,lexical+cse
onlinesakhi.com,onlinesakhi.com,0.318,SBI,0.0855,0.6667,low,lexical+cse
usfinancial.us.com,usfinancial.us.com,0.3087,IOCL,0.2182,0.4444,low,lexical+cse
winnica-pana.pl,winnica-pana.pl,0.3651,NIC,0.0751,0.8,low,lexical+cse
78ieucii.icu,78ieucii.icu,0.3244,ICICI,0.1928,0.5217,low,lexical+cse
blatzmechanical.com,blatzmechanical.com,0.3583,NIC,0.0918,0.7579,low,lexical+cse
ssenergy.org.in,ssenergy.org.in,0.3107,NIC,0.2004,0.4762,low,lexical+cse
nr20eru.top,nr20eru.top,0.3159,PNB,0.2128,0.4706,low,lexical+cse
aprilnicole.shop,aprilnicole.shop,0.367,NIC,0.0867,0.7875,low,lexical+cse
lotus-dental-clinic.com,lotus-dental-clinic.com,0.3573,NIC,0.1086,0.7304,low,lexical+cse
jpcomunicacionestrategica.store,jpcomunicacionestrategica.store,0.347,NIC,0.1139,0.6968,low,lexical+cse
nsagencia.com.br,nsagencia.com.br,0.3288,ICICI,0.2147,0.5,low,lexical+cse
earthchronicles.blog,earthchronicles.blog,0.359,NIC,0.0984,0.75,low,lexical+cse
trashpandachronicles.com,trashpandachronicles.com,0.3532,NIC,0.1053,0.725,low,lexical+cse
mybytebob.com,mybytebob.com,0.3713,BoB,0.0649,0.8308,low,lexical+cse
swimboard.xyz,swimboard.xyz,0.3196,SBI,0.1993,0.5,low,lexical+cse
autronicafire.org,autronicafire.org,0.3627,NIC,0.0868,0.7765,low,lexical+cse
onlinegeme.site,onlinegeme.site,0.3112,SBI,0.0742,0.6667,low,lexical+cse
abbywellnessclinic.com,abbywellnessclinic.com,0.3527,NIC,0.0969,0.7364,low,lexical+cse
electronicaccessoris.com,electronicaccessoris.com,0.3459,NIC,0.0932,0.725,low,lexical+cse
pnbbrkc.sbs,pnbbrkc.sbs,0.3859,PNB,0.0614,0.8727,low,lexical+cse
spiritniceday.store,spiritniceday.store,0.3589,NIC,0.0929,0.7579,low,lexical+cse
quizzhocacademy.com.br,quizzhocacademy.com.br,0.3101,ICICI,0.2424,0.4118,low,lexical+cse
pharamacronics.com,pharamacronics.com,0.3571,NIC,0.084,0.7667,low,lexical+cse
rtpmael1.xyz,rtpmael1.xyz,0.3025,Airtel,0.2078,0.4444,low,lexical+cse
classicarcadechronicles.com,classicarcadechronicles.com,0.3448,NIC,0.1006,0.7111,low,lexical+cse
usicmbasic.click,usicmbasic.click,0.302,ICICI,0.1859,0.4762,low,lexical+cse
inicia-solicitacao.site,inicia-solicitacao.site,0.3467,NIC,0.0908,0.7304,low,lexical+cse
trycoldunicorn.pl,trycoldunicorn.pl,0.3634,NIC,0.088,0.7765,low,lexical+cse
electronicstuffy.store,electronicstuffy.store,0.3527,NIC,0.0969,0.7364,low,lexical+cse
hamdeliclinic.com,hamdeliclinic.com,0.3599,NIC,0.0822,0.7765,low,lexical+cse
tintasprojetormackvision.com.br,tintasprojetormackvision.com.br,0.3129,ICICI,0.2734,0.3721,low,lexical+cse
oo3pglne.icu,oo3pglne.icu,0.3123,SBI,0.2031,0.4762,low,lexical+cse
markenmechanical.com,markenmechanical.com,0.3538,NIC,0.0896,0.75,low,lexical+cse
qamir.top,qamir.top,0.3207,Airtel,0.1789,0.5333,low,lexical+cse
germanicusweg1.nl,germanicusweg1.nl,0.3733,NIC,0.1046,0.7765,low,lexical+cse
uspay.top,uspay.top,0.3036,SBI,0.1727,0.5,low,lexical+cse
yobtvan.icu,yobtvan.icu,0.3021,NIC,0.1898,0.4706,low,lexical+cse
couponic.info,couponic.info,0.3713,NIC,0.0649,0.8308,low,lexical+cse
unicase.com.tr,unicase.com.tr,0.451,NIC,0.2088,0.8143,medium,lexical+cse
chefbotanicals.com,chefbotanicals.com,0.3634,NIC,0.0946,0.7667,low,lexical+cse
droc8zrg.top,droc8zrg.top,0.3191,HDFC,0.1984,0.5,low,lexical+cse
387rc.top,387rc.top,0.3088,IRCTC,0.229,0.4286,low,lexical+cse
aslisepatu4d.xyz,aslisepatu4d.xyz,0.3378,SBI,0.2152,0.5217,low,lexical+cse
5q6gw9nvp.icu,5q6gw9nvp.icu,0.3101,NIC,0.2361,0.4211,low,lexical+cse
anv1ew.top,anv1ew.top,0.3199,PNB,0.1998,0.5,low,lexical+cse
kchclinic.com,kchclinic.com,0.3722,NIC,0.0666,0.8308,low,lexical+cse
iconichomes.art,iconichomes.art,0.3713,NIC,0.0855,0.8,low,lexical+cse
bhavindhodia.xyz,bhavindhodia.xyz,0.3187,PNB,0.1978,0.5,low,lexical+cse
clinic-reset.com,clinic-reset.com,0.3684,NIC,0.0891,0.7875,low,lexical+cse
pnh6e85a.icu,pnh6e85a.icu,0.3004,NIC,0.234,0.4,low,lexical+cse
aegon.inc,aegon.inc,0.3036,NIC,0.0615,0.6667,low,lexical+cse
onlinepayments.xyz,onlinepayments.xyz,0.3308,SBI,0.2057,0.5185,low,lexical+cse
medclinic.online,medclinic.online,0.3591,NIC,0.0735,0.7875,low,lexical+cse
insanesolana.xyz,insanesolana.xyz,0.307,IOCL,0.1916,0.48,low,lexical+cse
jahnabobolia.com,jahnabobolia.com,0.3633,BoB,0.0805,0.7875,low,lexical+cse
clinicaltrialrcc.com,clinicaltrialrcc.com,0.348,NIC,0.08,0.75,low,lexical+cse
gigease.co.in,gigease.co.in,0.3276,NIC,0.1952,0.5263,low,lexical+cse
boatingsectionstelecommunications35.sbs,boatingsectionstelecommunications35.sbs,0.3531,NIC,0.1371,0.6769,low,lexical+cse
nickndesign.com,nickndesign.com,0.3682,NIC,0.0803,0.8,low,lexical+cse
freshersbit.live,freshersbit.live,0.3641,SBI,0.0818,0.7875,low,lexical+cse
inpay.top,inpay.top,0.3036,SBI,0.1727,0.5,low,lexical+cse
venicepoetryslam.com,venicepoetryslam.com,0.3601,NIC,0.1002,0.75,low,lexical+cse
betguru247.com.in,betguru247.com.in,0.3286,NIC,0.2577,0.4348,low,lexical+cse
ydnet.top,ydnet.top,0.3169,PNB,0.1727,0.5333,low,lexical+cse
cachemechanical.com,cachemechanical.com,0.3504,NIC,0.0787,0.7579,low,lexical+cse
dollar.net.br,dollar.net.br,0.3004,SBI,0.1976,0.4545,low,lexical+cse
nvldyin.icu,nvldyin.icu,0.3077,SBI,0.1796,0.5,low,lexical+cse
pondyie.icu,pondyie.icu,0.3108,SBI,0.1847,0.5,low,lexical+cse
concretizase.com.br,concretizase.com.br,0.3166,ICICI,0.2267,0.4516,low,lexical+cse
alexjamesbilodeau.com,alexjamesbilodeau.com,0.3559,SBI,0.0979,0.7429,low,lexical+cse
tutykids.com.br,tutykids.com.br,0.307,ICICI,0.2154,0.4444,low,lexical+cse
pusatgrosirbajuanak.biz.id,pusatgrosirbajuanak.biz.id,0.3052,BoB,0.2564,0.3784,low,lexical+cse
totaltrustfitness.icu,totaltrustfitness.icu,0.3081,SBI,0.2025,0.4667,low,lexical+cse
flahsbit.xyz,flahsbit.xyz,0.4568,SBI,0.1947,0.85,medium,lexical+cse
gv941.info,gv941.info,0.3215,NIC,0.1192,0.625,low,lexical+cse
gogotrips.co.in,gogotrips.co.in,0.3133,NIC,0.2046,0.4762,low,lexical+cse
crcesterilizacao.com.br,crcesterilizacao.com.br,0.3259,ICICI,0.2385,0.4571,low,lexical+cse
prettynice.store,prettynice.store,0.3633,NIC,0.0805,0.7875,low,lexical+cse
irisbit.xyz,irisbit.xyz,0.4557,SBI,0.1776,0.8727,medium,lexical+cse
batiksbro.xyz,batiksbro.xyz,0.309,BoB,0.195,0.48,low,lexical+cse
sdfaa.click,sdfaa.click,0.3183,HDFC,0.1796,0.5263,low,lexical+cse
omnicodeinnovations.com.br,omnicodeinnovations.com.br,0.4351,NIC,0.2482,0.7154,low,lexical+cse
tippa.xyz,tippa.xyz,0.3036,SBI,0.1727,0.5,low,lexical+cse
fencingcompanyleeds.co.uk,fencingcompanyleeds.co.uk,0.3059,ICICI,0.2575,0.3784,low,lexical+cse
onlineenstrumankursu.xyz,onlineenstrumankursu.xyz,0.3001,SBI,0.2173,0.4242,low,lexical+cse
misteriogalactico.com.br,misteriogalactico.com.br,0.3013,ICICI,0.2429,0.3889,low,lexical+cse
b3woov3r0.icu,b3woov3r0.icu,0.3049,NIC,0.2275,0.4211,low,lexical+cse
sdnm33.icu,sdnm33.icu,0.3103,NIC,0.2094,0.4615,low,lexical+cse
kitayamacho.xyz,kitayamacho.xyz,0.3076,NIC,0.1952,0.4762,low,lexical+cse
bgmiupdate.xyz,bgmiupdate.xyz,0.3127,SBI,0.2037,0.4762,low,lexical+cse
abnob.xyz,abnob.xyz,0.3036,BoB,0.1727,0.5,low,lexical+cse
menoniepauza.clinic,menoniepauza.clinic,0.3565,NIC,0.0889,0.7579,low,lexical+cse
360vgo.info,360vgo.info,0.3048,NIC,0.1158,0.5882,low,lexical+cse
smokespace.xyz,smokespace.xyz,0.3079,SBI,0.1956,0.4762,low,lexical+cse
fb2.online,fb2.online,0.3025,SBI,0.0831,0.6316,low,lexical+cse
a7-betunicorn.com,a7-betunicorn.com,0.3756,NIC,0.1083,0.7765,low,lexical+cse
unic-deals.xyz,unic-deals.xyz,0.4501,NIC,0.2074,0.8143,medium,lexical+cse
thecoldunicorn.pl,thecoldunicorn.pl,0.3654,NIC,0.0913,0.7765,low,lexical+cse
outletsonline.xyz,outletsonline.xyz,0.3041,SBI,0.1991,0.4615,low,lexical+cse
invading.xyz,invading.xyz,0.3017,IOCL,0.1853,0.4762,low,lexical+cse
guernica.co.uk,guernica.co.uk,0.4497,NIC,0.2067,0.8143,low,lexical+cse
eigdyao.icu,eigdyao.icu,0.3108,IOCL,0.1847,0.5,low,lexical+cse
hotchkisspestclinic.info,hotchkisspestclinic.info,0.349,NIC,0.0983,0.725,low,lexical+cse
raidrealm.xyz,raidrealm.xyz,0.3249,Airtel,0.1907,0.5263,low,lexical+cse
web-soportenic.info,web-soportenic.info,0.3629,NIC,0.0996,0.7579,low,lexical+cse
unicornempirestudios.com,unicornempirestudios.com,0.3504,NIC,0.1006,0.725,low,lexical+cse
wellusbio.com,wellusbio.com,0.38,SBI,0.0795,0.8308,low,lexical+cse
sudanicloud.com,sudanicloud.com,0.369,NIC,0.0817,0.8,low,lexical+cse
iketech.com.br,iketech.com.br,0.3383,ICICI,0.2048,0.5385,low,lexical+cse
unicof.net,unicof.net,0.4007,NIC,0.0678,0.9,low,lexical+cse
shopmuanickzalo.com,shopmuanickzalo.com,0.3607,NIC,0.0959,0.7579,low,lexical+cse
veganicwholistics.com,veganicwholistics.com,0.3575,NIC,0.1005,0.7429,low,lexical+cse
517hov.info,517hov.info,0.3048,NIC,0.1158,0.5882,low,lexical+cse
onionnews.xyz,onionnews.xyz,0.329,SBI,0.1847,0.5455,low,lexical+cse
builderrank.xyz,builderrank.xyz,0.3043,SBI,0.2041,0.4545,low,lexical+cse
fencingcompanysheffield.co.uk,fencingcompanysheffield.co.uk,0.3003,ICICI,0.2729,0.3415,low,lexical+cse
fencingcompanyrugby.co.uk,fencingcompanyrugby.co.uk,0.305,ICICI,0.2561,0.3784,low,lexical+cse
nicetotalk.com,nicetotalk.com,0.374,NIC,0.0805,0.8143,low,lexical+cse
gavinselectronics.store,gavinselectronics.store,0.3514,NIC,0.0988,0.7304,low,lexical+cse
onlinegoznakdiplom.top,onlinegoznakdiplom.top,0.3061,SBI,0.209,0.4516,low,lexical+cse
blackmusicfm.com.br,blackmusicfm.com.br,0.316,ICICI,0.2255,0.4516,low,lexical+cse
janice-reflexologyacademy.com,janice-reflexologyacademy.com,0.3528,NIC,0.119,0.7034,low,lexical+cse
kindbody-clinical.net,kindbody-clinical.net,0.3581,NIC,0.1016,0.7429,low,lexical+cse
c4-communications.net,c4-communications.net,0.3616,NIC,0.1074,0.7429,low,lexical+cse
dnsunic.top,dnsunic.top,0.4599,NIC,0.1847,0.8727,medium,lexical+cse
24wenq20.icu,24wenq20.icu,0.3055,NIC,0.2424,0.4,low,lexical+cse
propulsion-communications.org,propulsion-communications.org,0.3499,NIC,0.1143,0.7034,low,lexical+cse
watch-technicians.com,watch-technicians.com,0.3561,NIC,0.0982,0.7429,low,lexical+cse
bigsepuluh.xyz,bigsepuluh.xyz,0.3103,SBI,0.1997,0.4762,low,lexical+cse
findmy.clinic,findmy.clinic,0.3739,NIC,0.0693,0.8308,low,lexical+cse
blockchaincard.xyz,blockchaincard.xyz,0.3173,SBI,0.2088,0.48,low,lexical+cse
nejlmj.top,nejlmj.top,0.3074,PNB,0.1789,0.5,low,lexical+cse
yq8sne.top,yq8sne.top,0.3199,PNB,0.1998,0.5,low,lexical+cse
meridianapetclinic.com,meridianapetclinic.com,0.3518,NIC,0.0954,0.7364,low,lexical+cse
w2-oportunidadeunica.shop,w2-oportunidadeunica.shop,0.3621,NIC,0.1236,0.72,low,lexical+cse
citysidemedicalclinic.com,citysidemedicalclinic.com,0.3456,NIC,0.0961,0.72,low,lexical+cse
balatsarnic.xyz,balatsarnic.xyz,0.4394,NIC,0.1989,0.8,low,lexical+cse
sheav.xyz,sheav.xyz,0.3073,SBI,0.1789,0.5,low,lexical+cse
cafeweb.com.ar,cafeweb.com.ar,0.3051,ICICI,0.2008,0.4615,low,lexical+cse
xmjnic.com,xmjnic.com,0.3973,NIC,0.0622,0.9,low,lexical+cse
ilmiocloud.cloud,ilmiocloud.cloud,0.382,IOCL,0.07,0.85,low,lexical+cse
inplanement.co.nl,inplanement.co.nl,0.3126,IOCL,0.2132,0.4615,low,lexical+cse
espiritofeminino.com.br,espiritofeminino.com.br,0.3031,ICICI,0.2385,0.4,low,lexical+cse
mmetalmecanico.com,mmetalmecanico.com,0.354,NIC,0.079,0.7667,low,lexical+cse
asesinova.com.br,asesinova.com.br,0.3003,ICICI,0.2147,0.4286,low,lexical+cse
merochenichsrl.com.ar,merochenichsrl.com.ar,0.4351,NIC,0.23,0.7429,low,lexical+cse
magamechanics.com,magamechanics.com,0.3592,NIC,0.081,0.7765,low,lexical+cse
smilehappy.xyz,smilehappy.xyz,0.3079,SBI,0.1956,0.4762,low,lexical+cse
bobypibel.pro,bobypibel.pro,0.3739,BoB,0.0693,0.8308,low,lexical+cse
nianglog.xyz,nianglog.xyz,0.3017,IOCL,0.1853,0.4762,low,lexical+cse
nouscis.com.br,nouscis.com.br,0.3359,ICICI,0.2008,0.5385,low,lexical+cse
digitalmarketingdorset.co.uk,digitalmarketingdorset.co.uk,0.3001,ICICI,0.2668,0.35,low,lexical+cse
cintiafilizzola.com.br,cintiafilizzola.com.br,0.3296,ICICI,0.2357,0.4706,low,lexical+cse
vitrectomyhistrionically.work,vitrectomyhistrionically.work,0.4172,NIC,0.2264,0.7034,low,lexical+cse
nicosmc.xyz,nicosmc.xyz,0.4599,NIC,0.1847,0.8727,medium,lexical+cse
resepcepat.my.id,resepcepat.my.id,0.3031,SBI,0.2153,0.4348,low,lexical+cse
jizdyhan.icu,jizdyhan.icu,0.3045,IOCL,0.19,0.4762,low,lexical+cse
49okv2.info,49okv2.info,0.3048,NIC,0.1158,0.5882,low,lexical+cse
tutiendafit.com.ar,tutiendafit.com.ar,0.3206,ICICI,0.2233,0.4667,low,lexical+cse
makilarte.com.mx,makilarte.com.mx,0.3099,Airtel,0.2134,0.4545,low,lexical+cse
niangbeing.xyz,niangbeing.xyz,0.3037,BoB,0.1861,0.48,low,lexical+cse
meltica.com.tr,meltica.com.tr,0.3051,ICICI,0.2008,0.4615,low,lexical+cse
echcoeharmonichealing.com,echcoeharmonichealing.com,0.3463,NIC,0.0971,0.72,low,lexical+cse
sheclinicsqr.com,sheclinicsqr.com,0.3662,NIC,0.0853,0.7875,low,lexical+cse
oaxav.win,oaxav.win,0.3036,NIC,0.0615,0.6667,low,lexical+cse
n64ekm.top,n64ekm.top,0.329,PNB,0.2151,0.5,low,lexical+cse
createonline.xyz,createonline.xyz,0.312,SBI,0.2,0.48,low,lexical+cse
mircosoftad.icu,mircosoftad.icu,0.318,IRCTC,0.1966,0.5,low,lexical+cse
kosui.com.br,kosui.com.br,0.3168,ICICI,0.1947,0.5,low,lexical+cse
inhabitan.br.com,inhabitan.br.com,0.3187,IOCL,0.2112,0.48,low,lexical+cse
modernhomeelectronics.com,modernhomeelectronics.com,0.3468,NIC,0.098,0.72,low,lexical+cse
iforest.icu,iforest.icu,0.3108,IRCTC,0.1847,0.5,low,lexical+cse
lphonefind.xyz,lphonefind.xyz,0.3016,PNB,0.1997,0.4545,low,lexical+cse
chespaintingdecoratingltd.co.uk,chespaintingdecoratingltd.co.uk,0.3069,IOCL,0.2782,0.35,low,lexical+cse
niwfit.com.br,niwfit.com.br,0.3452,ICICI,0.202,0.56,low,lexical+cse
jimtvian.icu,jimtvian.icu,0.3006,IOCL,0.1835,0.4762,low,lexical+cse
lovelightbotanica.com,lovelightbotanica.com,0.3565,NIC,0.0989,0.7429,low,lexical+cse
